institution,country,datasource,nPapers,nAuth,standardized name
"The Department of Neurology, University Hospital Basel, University of Basel, Basel, Switzerland",Switzerland,Scopus,1,2,University of Basel - BS
"The Department of Neurology, University Hospital Lausanne, University of Lausanne, Lausanne, Switzerland",Switzerland,Scopus,1,2,University of Lausanne - LA
"The Department of Trauma Surgery, University Hospital Zurich, University of Zurich, Zurich, Switzerland",Switzerland,Scopus,1,4,University of Zurich - ZH
"The Economics of Ecosystems and Biodiversity (TEEB) in the United Nations Environment Programme (UNEP), Geneva, Switzerland",Switzerland,Scopus,1,1,United Nations Environment Programme (UNEP)
"The Foundation for Innovative New Diagnostics, Geneva, Switzerland",Switzerland,Scopus,1,1,Other Research Institutes - FINST!
"The Global Antibiotic Research and Development Partnership, Geneva, Switzerland",Switzerland,Scopus,1,1,Other Research Institutes - FINST
"The Global Fund to Fights AIDS,Tuberculosis and Malaria, Geneva, Switzerland",Switzerland,Scopus,1,6,---
"The Graduate Institute, Geneva, Switzerland",Switzerland,Scopus,1,1,Graduate Institute of International and Development Studies - IHEID
"The Institute for Diagnostic and Interventional Neuroradiology, Switzerland",Switzerland,Scopus,1,4,"The Institute for Diagnostic and Interventional Neuroradiology, Switzerland!"
"The Institute of Bioengineering, Lausanne, Switzerland",Switzerland,Scopus,1,1,EPF Lausanne - EPFL
"The Institute of Global Health, Faculty of Medicine, University of Geneva, Geneva, Switzerland",Switzerland,Scopus,1,1,University of Geneva - GE
"The Intensive Care Unit, Children's Hospital Lucerne, Lucerne, Switzerland",Switzerland,Scopus,1,1,Luzerner Kantonsspital - LUKS
"The International Management Institute, ZHAW School of Management and Law, Winterthur, Switzerland",Switzerland,Scopus,1,2,Zurich University of Applied Sciences - ZHAW
"The LINE (Laboratory for Investigative Neurophysiology), Department of Radiology, University Hospital Center and University of Lausanne, Switzerland",Switzerland,Scopus,1,1,University of Lausanne - LA
"The MEDGIFT Lab, Information Systems Institute, School of Management, University of Applied Sciences & Arts Western Switzerland (HES-SO Valais), Switzerland",Switzerland,Scopus,1,1,University of Applied Sciences and Arts Western Switzerland - HES-SO
"The Research Department, Reha Rheinfelden, Rheinfelden, Switzerland",Switzerland,Scopus,1,1,Other Research Institutes - FINST
"The Royal Commission of AlUla, Gland, Switzerland",Switzerland,Scopus,1,1,---
"The Sainsbury Laboratory, University of Cambridge, Cambridge, United Kingdom, Friedrich Miescher Institute for Biomedical Research (FMI), Basel, Switzerland",Switzerland,Scopus,1,1,Institute of Molecular and Clinical Ophthalmology Basel - IOB
"The Sense Innovation and Research Center, Lausanne and Sion, Switzerland",Switzerland,Scopus,1,1,"Sense Innovation and Research Center, Lausanne!"
"The Special Program for Research and Training in Tropical Diseases (TDR), World Health Organization, Avenue Appia 20, Geneva, 1211, Switzerland",Switzerland,Scopus,1,1,World Health Organization - WHO
"The Special Programme for Research and Training in Tropical Diseases, Department of Research for Health, The World Health Organization, Geneva, Switzerland",Switzerland,Scopus,1,1,World Health Organization - WHO
"The Support Center for Advanced Neuroimaging, Institute of Diagnostic and Interventional Neuroradiology, Switzerland",Switzerland,Scopus,1,1,---
"The University of Zurich, Zurich, Switzerland",Switzerland,Scopus,1,2,University of Zurich - ZH
"The World Health Organization, Geneva, Switzerland",Switzerland,Scopus,1,2,World Health Organization - WHO
"The World Stroke Organization Taskforce for Prehospital Care, Geneva, Switzerland",Switzerland,Scopus,1,4,---
"The Worldwide Network of Blood and Marrow Transplantation (WBMT) Transplant Activity Survey Office, University Hospital, Basel, Switzerland",Switzerland,Scopus,1,2,"University Hospital, Basel - UNKB!"
"Theoretical Particle Physics Laboratory (LPTP), Institute of Physics, EPFL, Lausanne, Switzerland",Switzerland,Scopus,1,3,EPF Lausanne - EPFL
"Theoretical Physics Department, CERN 1211, Geneva 23, Switzerland",Switzerland,Scopus,1,1,CERN
"Theoretical Physics Department, CERN, 1 Esplanade des Particules, Geneva 23, Switzerland",Switzerland,Scopus,1,1,CERN
"Theoretical Physics Department, CERN, Geneva, Switzerland",Switzerland,Scopus,1,1,"CERN, Geneva, Switzerland"
"Theoretical Physics Division, CERN, Geneva, Switzerland",Switzerland,Scopus,1,1,"CERN, Geneva, Switzerland"
"Theory Division, CERN, CH 1211 Geneva 23, Switzerland",Switzerland,Scopus,1,1,CERN
"Theory Division, CERN, CH 1211, Geneva 23, Switzerland",Switzerland,Scopus,1,1,CERN
"Theory Division, CERN, CH-1211 Geneva 23, Switzerland",Switzerland,Scopus,1,1,CERN
"Theory Division, CERN, CH-1211, Geneva 23, Switzerland",Switzerland,Scopus,1,1,CERN
"Theory Division, CERN, CH-1211, Geneva, 23, Switzerland",Switzerland,Scopus,1,2,CERN
"Theory Division, CERN, Geneva 23, Switzerland",Switzerland,Scopus,1,1,"CERN, Geneva"
"Theory Division, Physics Department, CERN, Geneva 23, CH-1211, Switzerland",Switzerland,Scopus,1,1,"CERN, Geneva"
"Third World Network, Geneva, Switzerland",Switzerland,Both,1,1,"Third World Network, Geneva, Switzerland!"
"Thomson Reuters Labs, Zug, Switzerland",Switzerland,Scopus,1,1,Thomson Reuters Labs - Zug!
"Thurgau Hunting and Fishing Administration, Frauenfeld, Switzerland",Switzerland,Scopus,1,1,"Thurgau Hunting and Fishing Administration, Frauenfeld, Switzerland!"
"Thurgau Inst Econ, Kreuzlingen, Switzerland",Switzerland,Both,1,1,Biotechnology Institute Thurgau - BITG
"Tillotts Pharma AG, Rheinfelden, Switzerland",Switzerland,Scopus,1,1,Tillotts Pharma AG!
"Timcal Ltd, CH-6743 Bodio, Switzerland",Switzerland,Both,1,2,Companies/ Private Industry - FP
"Tobacco Free Initiative, Department of Health Promotion, WHO HQ, Switzerland",Switzerland,Scopus,1,1,WHO HQ
"Tobacco Free Initiative, Prevention of Noncommunicable Diseases, World Health Organization, Geneva, Switzerland",Switzerland,Scopus,1,2,World Health Organization - WHO
"Tobacco Free Initiative, WHO, Geneva, Switzerland",Switzerland,Scopus,1,1,"WHO, Geneva, Switzerland"
"Tofwerk AG, CH-3600 Thun, Switzerland",Switzerland,Both,1,1,Tofwerk AG!
"Tofwerk AG, Uttigenstr 22, CH-3600 Thun, Switzerland",Switzerland,Both,1,1,Companies/ Private Industry - FP
"Tofwerk, CH-3600 Thun, Switzerland",Switzerland,Both,1,1,Tofwerk!
"Tonomus Global Center for Digital Business Transformation, IMD Business School, Lausanne, Switzerland",Switzerland,Scopus,1,1,IMD Business School - Lausanne
"Top Grp Dent, ITU WHO Focus Grp AI Hlth, CH-1211 Geneva, Switzerland",Switzerland,Both,1,3,ITU WHO Focus Grp AI Hlth
"ToxiConSeil, CH-3475 Riedtwil, Switzerland",Switzerland,Both,1,1,---
"Traditional, Complementary, and Integrative Medicine Unit, Integrated Health Service Department, World Health Organization, Geneva, Switzerland",Switzerland,Scopus,1,1,World Health Organization - WHO
"Trafoexperts GmbH, CH-8610 Uster, Switzerland",Switzerland,Both,1,2,Companies/ Private Industry - FP
"Trainee Association of ESCMID, European Society of Clinical Microbiology and Infectious Diseases, Basel, Switzerland",Switzerland,Scopus,1,1,European Society of Clinical Microbiology and Infectious Diseases - ESCMID
"Transform Hlth Coalit, Geneva, Switzerland",Switzerland,Both,1,1,---
"Translational Medicine Academy, Basel, Switzerland",Switzerland,Scopus,1,3,"Translational Medicine Academy, Basel, Switzerland!"
"Transplantation Centre and Service of Infectious Diseases, University Hospital of Lausanne, Lausanne, Switzerland",Switzerland,Scopus,1,1,University Hospital of Lausanne - LA
"Transplantation Immunology Unit & National Reference Laboratory for Histocompatibility, Geneva University Hospital, Geneva, Switzerland",Switzerland,Scopus,1,3,University of Geneva - GE
"Transport at Nanoscale Interfaces Laboratory, Swiss Federal Laboratories for Materials Science and Technology, Dübendorf, CH-8600, Switzerland",Switzerland,Scopus,1,1,Swiss Federal Laboratories for Materials Science and Technology - EMPA
"Travel and Migration Medicine Unit, Geneva University Hospitals, CH-1211 Geneva 14, 24 rue Micheli-du-Crest, Switzerland",Switzerland,Scopus,1,1,Geneva University Hospitals - GE
"Tremli Hospital, Switzerland",Switzerland,Scopus,1,1,Ente Ospedaliero Cantonale - EOC
"Triemli City Hosp Zurich, Inst Anaesthesiol & Intens Care Med, CH-8063 Zurich, Switzerland",Switzerland,Both,1,1,Ente Ospedaliero Cantonale - EOC
"Triemli City Hosp, Zurich, Switzerland",Switzerland,WoS,1,1,"Triemli City Hosp, Zurich, Switzerland - No direct match found in the reference list, so I'll return '---'."
"Triemli City Hospital, Zurich, Switzerland",Switzerland,Scopus,1,1,Ente Ospedaliero Cantonale - EOC
"Triemli Hosp Triemlispital, Dept Cardiol, Zurich, Switzerland",Switzerland,WoS,1,1,Ente Ospedaliero Cantonale - EOC
"Triemli Hosp Zurich, Inst Pathol, Zurich, Switzerland",Switzerland,Both,1,1,Ente Ospedaliero Cantonale - EOC
"Triemli Hosp, Dept Cardiol, Zurich, Switzerland",Switzerland,Both,1,1,Ente Ospedaliero Cantonale - EOC
"Triemli Med Ctr, Zurich, Switzerland",Switzerland,Both,1,1,"Triemli Med Ctr, Zurich, Switzerland!"
"Trop Dis World Hlth Org, Special Programme Res, Vector Environm & Soc Unit, Special Programme Res & Training, 20 Ave Appia, CH-1211 Geneva 27, Switzerland",Switzerland,Both,1,1,"World Health Organization - Special Programme Research, Vector Environment & Society Unit - WHO"
"Tumorzentrum Hirslanden Zurich, Zurich, Switzerland",Switzerland,Both,1,1,Tumorzentrum Hirslanden Zurich - KSPZ!
"Tumour & Breast Ctr, St Gallen, Switzerland",Switzerland,Both,1,1,Cantonal hospital of St.Gallen - KSPSG
"Turkey, Switzerland",Switzerland,Scopus,1,1,---
"UAS Western Switzerland, Geneva Sch Business Adm, Route Drize 7, CH-1227 Carouge, Switzerland",Switzerland,Both,1,2,University of Applied Sciences and Arts Western Switzerland - HES-SO
"UAS, Baden, Switzerland",Switzerland,WoS,1,1,"University of Applied Sciences, Baden, Switzerland - UAS!"
"UCB, Bulle, Switzerland",Switzerland,Both,1,1,---
"UCL Great Ormond Street Institute of Child Health, University College London, 30 Guilford Street, London, WC1N 1E, United Kingdom, International Society of Paediatric Oncology (SIOP), Industriestrasse 25, Steinhausen, 6312, Switzerland",Switzerland,Scopus,1,1,"UCL Great Ormond Street Institute of Child Health, University College London!"
"UCL, Ctr Behav Change, London, England; UNICEF, UNDP, UNFPA, WHO World Bank Special Programme Res,Dept Sexual, Ave Appia 22, CH-1211 Geneva, Switzerland",Switzerland,WoS,1,1,"UCL, Ctr Behav Change, London, England

UCL - Centre for Behaviour Change, London

UNICEF, UNDP, UNFPA, WHO World Bank Special Programme Res

---"
"UCL, Genet Inst, Gower St, London WC1E 6BT, England; Univ Bern, Inst Linguist, CH-3012 Bern, Switzerland",Switzerland,Both,1,1,University of Berne - BE
"UCLA, USA, EPFL, Switzerland",Switzerland,Scopus,1,1,EPF Lausanne - EPFL
"UHC2030, CH-1211 Geneva, Switzerland",Switzerland,Both,1,1,UHC2030!
"UHC2030, Geneva, Switzerland",Switzerland,Both,1,1,"UHC2030, Geneva, Switzerland! (no direct match in the reference list)"
"UICC, Geneva, Switzerland",Switzerland,Both,1,1,"UICC, Geneva, Switzerland -> UICC!"
"UICC, Geneva, Switzerland",Switzerland,Scopus,1,1,"UICC, Geneva, Switzerland"
"UKAEA (United Kingdom Atomic Energy Authority), Culham Campus, Abingdon, Oxfordshire, OX14 3DB, United Kingdom, École Polytechnique Fédérale de Lausanne (EPFL), Swiss Plasma Center (SPC), Lausanne, CH-1015, Switzerland",Switzerland,Scopus,1,1,École Polytechnique Fédérale de Lausanne - EPFL
"UN Environm, Geneva, Switzerland",Switzerland,Both,1,3,"UN Environment, Geneva, Switzerland"
"UN Off High Commissioner Human Rights, Geneva, Switzerland",Switzerland,Both,1,1,"UN Off High Commissioner Human Rights, Geneva, Switzerland"
"UN Off, Coordinat Humanitarian Affairs Geneva, Geneva, Switzerland",Switzerland,WoS,1,1,"UN Office for the Coordination of Humanitarian Affairs (UN-OCHA) Geneva, Switzerland"
"UN Populat Fund, Geneva, Switzerland",Switzerland,Both,1,1,"UN Population Fund, Geneva, Switzerland!"
"UN Secretary Gen Special Envoy HIV AIDS Eastern E, Geneva, Switzerland",Switzerland,Both,1,1,Graduate Institute of International and Development Studies - IHEID
"UN Special Envoy HIV Eastern Europe & Cent Asia, Geneva, Switzerland",Switzerland,Both,1,1,---
"UNAIDS 20, Geneva, Switzerland",Switzerland,Scopus,1,1,"UNAIDS - United Nations Programme on HIV/AIDS, Geneva, Switzerland!"
"UNAIDS Asia Pacific and Middle East Desk, UNAIDS, 1211 Geneva 27, 20 Avenue Appia, Switzerland",Switzerland,Scopus,1,1,UNAIDS
"UNAIDS, Ave Appia 20, CH-1211 Geneva, Switzerland",Switzerland,Both,1,1,UNAIDS
"UNAIDS, Community Support Social Justice & Inclus, Geneva, Switzerland",Switzerland,Both,1,1,"UNAIDS, Geneva, Switzerland"
"UNAIDS, Fast Track Implementat Dept, Geneva, Switzerland",Switzerland,WoS,1,1,UNAIDS
"UNAIDS, Financing & Econ Div, Geneva, Switzerland",Switzerland,Both,1,1,UNAIDS
"UNAIDS, Geneva 27, Switzerland",Switzerland,Scopus,1,1,"UNAIDS, Geneva!"
"UNAIDS, Polit Affairs & Strategy, Geneva, Switzerland",Switzerland,WoS,1,1,UNAIDS!
"UNAIDS, Strateg Informat Dept, Geneva, Switzerland",Switzerland,WoS,1,1,UNAIDS!
"UNAIDS, Switzerland",Switzerland,Scopus,1,1,UNAIDS
"UNCTAD, Geneva, Switzerland",Switzerland,Both,1,2,"UNCTAD, Geneva, Switzerland"
"UNCTAD, Switzerland",Switzerland,Scopus,1,1,United Nations Conference on Trade and Development (UNCTAD)!
"UNCTAD, Unit Econ Cooperat & Integrat Developing Countrie, Geneva, Switzerland",Switzerland,Both,1,1,"UNCTAD, Geneva, Switzerland!"
"UNDP UNFPA UNICEF WHO World Bank Special Programme, Dept Sexual & Reprod Hlth & Res, WHO, Geneva, Switzerland",Switzerland,Both,1,3,"WHO, Geneva, Switzerland"
"UNDP UNFPA UNICEF WHO, Dept Sexual & Reprod Hlth & Res, World Bank Special Programme Res, Dev & Res Training Human Reprod HRP, 20 Ave Appia, CH-1211 Geneva, Switzerland",Switzerland,Both,1,4,UNFPA (United Nations Population Fund)
"UNDP UNFPA UNICEF, Dept Sexual & Reprod Hlth & Res, WHO World Bank Special Programme Res, Dev & Res Training Human Reprod HRP, 20 Ave Appia, CH-1211 Geneva, Switzerland",Switzerland,Both,1,3,WHO World Bank Special Programme HRP
"UNDP, UNFPA, UNICEF, WHO, World Bank Special Programme of Research, Development and Research Training in Human Reproduction, Department of Sexual and Reproductive Health and Research, World Health Organization, Geneva, Switzerland",Switzerland,Scopus,1,2,World Health Organization - WHO
"UNDP, UNFPA, UNICEF,Dept Reprod Hlth & Res, WHO,World Bank Special Programme Res,Dev & Res Tr, Ave Appia 20, CH-1201 Geneva, Switzerland",Switzerland,Both,1,1,---
"UNDP, UNICEF, World Bank WHO Special Programme, Res & Training Trop Dis TDR, Geneva, Switzerland",Switzerland,WoS,1,2,"WHO Special Programme, Res & Training Trop Dis TDR, Geneva, Switzerland!"
"UNDP-UNFPA-UNICEF-WHO-World Bank Spec. Prog. of Res., Devmt. and Res. Training in Human Reproduction, Department of Sexual and Reproductive Health and Research, WHO, Geneva, Switzerland",Switzerland,Scopus,1,5,WHO
"UNDP-UNFPA-UNICEF-WHO-World Bank Special Programme of Research, Development and Research Training in Human Reproduction (HRP), Department of Sexual and Reproductive Health and Research, World Health Organization, Geneva, Switzerland",Switzerland,Scopus,1,4,World Health Organization - WHO
"UNDP/UNFPA/ UNICEF/WHO/World Bank Special Programme of Research, Development and Research Training in Human Reproduction (HRP), World Health Organization Department of Sexual and Reproductive Health and Research, Geneva, Switzerland",Switzerland,Scopus,1,1,World Health Organization Department of Sexual and Reproductive Health and Research
"UNDP/UNFPA/UNICEF/WHO/ World Bank Special Programme of Research, Development and Research Training in Human Reproduction (HRP), Department of Reproductive Health and Research, WHO, Geneva, Switzerland",Switzerland,Scopus,1,8,WHO
"UNDP/UNFPA/UNICEF/WHO/World Bank Special Programme of Research, Development and Research Training in Human Reproduction (HRP), Department of Sexual and Reproductive Health and Research, World Health Organization, Geneva, Switzerland",Switzerland,Scopus,1,1,World Health Organization - WHO
"UNDP/UNFPA/UNICEF/WHO/World Bank Special Programme of Research, Development, and Research Training in Human Reproduction, Department of Reproductive Health and Research, WHO, Geneva, Switzerland",Switzerland,Scopus,1,1,WHO
"UNDP/UNFPA/UNICEF/World Bank Special Program of Research, Development and Research Training in Human Reproduction (HRP), Department of Sexual and Reproductive Health and Research, World Health Organization, Geneva, Switzerland",Switzerland,Scopus,1,1,World Health Organization - WHO
"UNDP/UNFPA/WHO/World Bank Spec. P., WHO, Geneva, Switzerland",Switzerland,Scopus,1,1,"WHO, Geneva, Switzerland"
"UNDP/UNFPA/WHO/World Bank Spec. Prog. of Res., Devmt. and Research Training in Human Reproduction, Department of Reproductive Health and Research, World Health Organization, Geneva, Switzerland",Switzerland,Scopus,1,4,World Health Organization - WHO
"UNDP/UNFPA/WHO/World Bank Spec. Programme of Res., Devmt. and Res. Train. in Hum. Reproduction (HRP), Department of Reproductive Health and Research (RHR), World Health Organization, Geneva, Switzerland",Switzerland,Scopus,1,3,World Health Organization - WHO
"UNDP/UNFPA/WHO/World Bank Spec. Programme of Res., Devmt. and Res. Training in Human Reproduction, World Health Organization, CH-1211 Geneva 27, 20, Avenue Appia, Switzerland",Switzerland,Scopus,1,1,World Health Organization - WHO
"UNDP/UNFPA/WHO/World Bank Spec. Programme of Res., Devmt. and Res. Training in Human Reproduction, World Health Organization, Geneva, Switzerland",Switzerland,Scopus,1,3,World Health Organization - WHO
"UNDP/UNFPA/WHO/World Bank Special Programme of Research, Development and Research Training in Human Reproduction, World Health Organization, Geneva, Switzerland",Switzerland,Scopus,1,2,"World Health Organization, Geneva, Switzerland - WHO"
"UNDP/UNFPA/WHO/World Bank Special Programme of Research, World Health Organisation, Geneva, Switzerland",Switzerland,Scopus,1,5,World Health Organisation - WHO
"UNDP/UNFPA/WHO/World Bank Special Programme of Research, World Health Organization, Department of Reproductive Health and Research, Geneva CH-1211, Switzerland",Switzerland,Scopus,1,6,World Health Organization - WHO
"UNDP–UNFPA–UNICEF–WHO–World Bank Special Programme of Research, Development and Research Training in Human Reproduction (HRP), Department of Sexual and Reproductive Health and Research, World Health Organization, Geneva, Switzerland",Switzerland,Scopus,1,3,World Health Organization - WHO
"UNESCO Chair in Hydropolitics, University of Geneva, Switzerland",Switzerland,Scopus,1,1,University of Geneva - GE
"UNFPA, Geneva, Switzerland",Switzerland,Both,1,1,"UNFPA, Geneva(!), Switzerland"
"UNIBAS, Inst Bot, CH-4056 Basel, Switzerland",Switzerland,Both,1,1,University of Basel - BS
"UNICEF UNDP WB WHO Special Programme Res & Traini, Geneva, Switzerland",Switzerland,Both,1,1,"Special Programme Res & Traini, Geneva, Switzerland!"
"UNICEF UNDP World Bank WHO Special Programme Res, CH-1211 Geneva, Switzerland",Switzerland,Both,1,1,Other Research Institutes - FINST
"UNICEF UNDP World Bank World Hlth Org Special Pro, Geneva, Switzerland",Switzerland,Both,1,1,"UNDP World Health Organization Special Programme (WHO-SPP), Geneva, Switzerland"
"UNICEF UNDP, World Bank, WHO Special Programme Res & Training Trop Dis, Geneva, Switzerland",Switzerland,Both,1,2,"WHO Special Programme Res & Training Trop Dis, Geneva, Switzerland!"
"UNICEF, Geneva, Switzerland",Switzerland,Both,1,1,"UNICEF, Geneva, Switzerland"
"UNICEF, Geneva, Switzerland",Switzerland,Scopus,1,2,UNICEF!
"UNICEF, Global Philanthropy Team, Geneva, Switzerland",Switzerland,WoS,1,1,UNICEF!
"UNICEF, UNDP, World Bank, WHO Special Program Res & Training Trop Dis, Geneva, Switzerland",Switzerland,Both,1,2,"WHO Special Program Res & Training Trop Dis, Geneva, Switzerland!"
"UNICEF, UNDP, World Bank, WHO Special Programme for Research and Training in Tropical Diseases (TDR), Geneva, CH-1211, Switzerland",Switzerland,Scopus,1,1,WHO Special Programme for Research and Training in Tropical Diseases (TDR)
"UNICEF, UNDP, World Bank, WHO TDR, Geneva, Switzerland",Switzerland,WoS,1,1,"WHO TDR, Geneva, Switzerland"
"UNICEF, UNDP, World Bank, World Health Organization, Special Programme for Research and Training in Tropical Diseases (TDR), Avenue Appia 20, Geneva, 1211, Switzerland",Switzerland,Scopus,1,1,Special Programme for Research and Training in Tropical Diseases (TDR)
"UNICEF, UNDP, World Health Organization, 1211 Geneva 27, 20 Avenue Appia, Switzerland",Switzerland,Scopus,1,2,World Health Organization
"UNICEF, WHO Special Programme Res & Training Trop Dis, UNDP, World Bank, Geneva, Switzerland",Switzerland,Both,1,1,WHO Special Programme for Research & Training in Tropical Diseases!
"UNICEF/UNDP/World Bank, WHO Special Programme for Research and Training in Tropical Diseases (TDR), World Health Organization, CH-1211 Geneva 27, 20 Avenue Appia, Switzerland",Switzerland,Scopus,1,1,World Health Organization - WHO
"UNICEF/UNDP/World Bank/WHO Special Programme for Research and Training in Tropical Diseases (TDR), WHO, Switzerland",Switzerland,Scopus,1,1,WHO Special Programme for Research and Training in Tropical Diseases (TDR)
"UNICEF/UNDP/World Bank/WHO Special Programme for Research and Training in Tropical Diseases (TDR), World Health Organization, Geneva, Switzerland",Switzerland,Scopus,1,1,World Health Organization - WHO
"UNIL CHUV, Dept Radiat Oncol, Lausanne, Switzerland",Switzerland,Both,1,1,University of Lausanne - LA
"UNIL HEC, CH-1015 Lausanne, Switzerland",Switzerland,Both,1,1,University of Lausanne - LA
"UNIL Univ Lausanne, Dept Ecol & Evolut, Lab Conservat Biol, Lausanne, Switzerland",Switzerland,Both,1,1,University of Lausanne - LA
"UNITAID, Geneva, Switzerland",Switzerland,Scopus,1,1,UNITAID!
"UNOPS RBM Partnership End Malaria, Geneva, Switzerland",Switzerland,WoS,1,1,"UNOPS RBM Partnership End Malaria, Geneva, Switzerland

---"
"UPDM-Units of Mental Development Psychiatry, Department of Mental Health and Psychiatry, HUG-University Hospital of Geneva, CH-1225 Chêne-Bourg, 2, chemin du Petit Bel Air, Switzerland",Switzerland,Scopus,1,1,University Hospital of Geneva - HUG
"USI SUPSI, Via Santa 1, CH-6962 Lugano, Switzerland",Switzerland,Both,1,2,University of Applied Sciences and Arts of Southern Switzerland - SUPSI
"USI Università della Svizzera italiana, Switzerland",Switzerland,Scopus,1,1,Università della Svizzera italiana - USI
"USI, Lugano, Switzerland",Switzerland,WoS,1,2,Università della Svizzera italiana - USI
"USI-SUPSI, Switzerland",Switzerland,Scopus,1,1,University of Applied Sciences and Arts of Southern Switzerland - SUPSI
"USYS TdLab, Dept Environm Syst Sci, CH-8092 Zurich, Switzerland",Switzerland,Both,1,1,ETH Zurich - ETHZ
"UniDistance Suisse, Fac Psychol, Brig, Switzerland",Switzerland,Both,1,4,Swiss Distance University Institute - FUSC
"UniDistance Switzerland, Sierre, Switzerland",Switzerland,Both,1,1,Swiss Distance University Institute - FUSC
"Unidad Farmacogenética y Psicofarmacología Clínica, Centro de Neurociencias Psiquiátricas, Hospital Universitario y Universidad de Lausanne, Switzerland",Switzerland,Scopus,1,1,University of Lausanne - LA
"Unilabs Genet Lab, CH-1003 Lausanne, Switzerland",Switzerland,Both,1,1,Unisanté
"Unintentional Injury Prevention Unit, WHO's Department for the Management of Noncommunicable Diseases, Disability, Violence and Injury Prevention World Health Organization, Avenue Appia, 20, Geneva 27, 1211, Switzerland",Switzerland,Scopus,1,1,World Health Organization - WHO
"Union Int Associat Alpinisme Med Commiss UIAA Med, Bern, Switzerland",Switzerland,Both,1,6,"UIAA Med, Bern, Switzerland"
"Union Int Canc Control UICC, CH-1202 Geneva, Switzerland",Switzerland,Both,1,1,Union Int Canc Control - UICC
"Union Int Canc Control, CH-1207 Geneva, Switzerland",Switzerland,Both,1,3,Union Int Canc Control - UICC!
"Union for International Cancer Control (UICC), 31-33 Avenue Giuseppe Motta, Geneva, 1202, Switzerland",Switzerland,Scopus,1,1,Union for International Cancer Control (UICC)
"Unione Contadini Ticinesi, Via Gorelle 7, CH-6592 S Antonino, Switzerland",Switzerland,Both,1,1,---
"Unisante, Cochrane Switzerland, Route Corniche 10, CH-1010 Lausanne, Switzerland",Switzerland,Both,1,1,Unisanté
"Unit of Ecology and Evolution, Department of Biology, University of Fribourg, Fribourg, Switzerland",Switzerland,Scopus,1,2,University of Fribourg - FR
"Unit of Epidemiology, Prince Leopold Institute of Tropical Medicine, 2000 Antwerp, Nationalestraat 155, Switzerland",Switzerland,Scopus,1,1,Prince Leopold Institute of Tropical Medicine - PLITM
"Unit of Nephrology and Dialysis, Ospedale Civico di Lugano, Lugano, Switzerland",Switzerland,Scopus,1,1,Ente Ospedaliero Cantonale - EOC
"Unit of Retinal Degeneration and Regeneration, Department of Ophthalmology, University Lausanne, Jules-Gonin Eye Hospital, Fondation Asile des Aveugles, Lausanne, Switzerland",Switzerland,Scopus,1,1,University of Lausanne - LA
"Unitaid, Geneva, Switzerland",Switzerland,Both,1,1,"Unitaid, Geneva, Switzerland!"
"Unitaid, Geneva, Switzerland",Switzerland,Scopus,1,1,Unitaid!
"Unitaid, Global Health Campus, Geneva, Switzerland",Switzerland,Scopus,1,1,"Global Health Campus, Geneva, Switzerland!"
"United Nation Secretary Gen Special Envoy HIV AID, Geneva, Switzerland",Switzerland,Both,1,1,"United Nations - UN, Geneva, Switzerland"
"United Nations Conf Trade & Dev UNCTAD, Div Investment & Enterprise, Geneva, Switzerland",Switzerland,WoS,1,1,United Nations Conference on Trade and Development (UNCTAD)
"United Nations Economic Commission for Europe, Geneva, 1200, Switzerland",Switzerland,Scopus,1,1,United Nations Economic Commission for Europe - UNECE
"United Nations Environm Programme, Disaster Risk Reduct, Int Environm House,11-15 Chemin Anemones, CH-1219 Geneva, Switzerland",Switzerland,Both,1,1,United Nations Environment Programme - UNEP
"United Nations Environm Programme, Geneva, Switzerland",Switzerland,Both,1,3,"United Nations Environment Programme - UNEP, Geneva, Switzerland"
"United Nations High Commiss Human Rights, Geneva, Switzerland",Switzerland,WoS,1,1,"United Nations High Commissioner for Human Rights, Geneva, Switzerland!"
"United Nations High Commissioner Refugees, Publ Hlth Sect, Geneva, Switzerland",Switzerland,Both,1,1,"United Nations High Commissioner for Refugees - UNHCR, Geneva, Switzerland"
"United Nations High Commissioner for Refugees, Switzerland",Switzerland,Scopus,1,1,United Nations High Commissioner for Refugees - UNHCR!
"United Nations Institute of Training & Research (UNITAR), Switzerland",Switzerland,Scopus,1,1,United Nations Institute of Training & Research - UNITAR
"United Nations Joint Programme on HIV/AIDS (UNAIDS), Geneva, Switzerland",Switzerland,Scopus,1,1,UNAIDS
"United Nations Off Disaster Risk Reduct UNDRR, Geneva, Switzerland",Switzerland,Both,1,1,United Nations Off Disaster Risk Reduct UNDRR!
"United Nations Off Disaster Risk Reduct, Geneva, Switzerland",Switzerland,Both,1,1,United Nations Office for Disaster Risk Reduction - UNDRR!
"United Nations Populat Fund, Geneva, Switzerland",Switzerland,Both,1,1,United Nations Population Fund - UNFPA
"United Nations Population Fund, Geneva, Switzerland",Switzerland,Scopus,1,1,"United Nations Population Fund, Geneva, Switzerland!"
"United Nations Programme on AIDS, Geneva, Switzerland",Switzerland,Scopus,1,1,"United Nations Programme on AIDS - UNAIDS, Geneva, Switzerland!"
"United Nations Research Institute for Social Development (UNRISD), Palais des Nations, 1211 Geneva 10, Switzerland",Switzerland,Scopus,1,1,United Nations Research Institute for Social Development - UNRISD
"United Nations Special Envoy AIDS Eastern Europe, CH-1211 Geneva, Switzerland",Switzerland,Both,1,1,---
